sku,navn,type,leverandor,merke,serie,kategori,nåpris,førpris,farge,tekstil,bredde_cm,høyde_cm,sittehøyde_cm,sittedybde_cm,url
328560,Formfin Free,3 seter,Formfin,Formfin,FREE,3 seter,32910,,Beige/natur,Line beige,206,94,48,52,https://checkout.bohus.no/sofa/3-seter/free-3-seter-sofa-17
328561,Formfin Free,3 seter,Formfin,Formfin,FREE,3 seter,32910,,Beige/natur,Line beige,206,94,48,52,https://checkout.bohus.no/sofa/3-seter/free-3-seter-sofa-18
299403,Sando,3 seter,Dominari Grupe UAB,,SANDO,3 seter,8305,,Beige/natur,Verita 09 Beige,224,71,43,45,https://checkout.bohus.no/sofa/3-seter/sando-3-seter-sofa
328873,Freja,3 seter,Dominari Grupe UAB,,FREJA,3 seter,10665,,Beige/natur,Loft beige,198,83,46,55,https://checkout.bohus.no/sofa/3-seter/freja-3-seter-sofa-3
328874,Freja,3 seter,Dominari Grupe UAB,,FREJA,3 seter,10665,,Grønn,Loft oliven,198,83,46,55,https://checkout.bohus.no/sofa/3-seter/freja-3-seter-sofa-4
328875,Freja,3 seter,Dominari Grupe UAB,,FREJA,3 seter,10665,,Grå,Loft Stone,198,83,46,55,https://checkout.bohus.no/sofa/3-seter/freja-3-seter-sofa-5
306578,Bohus Exclusive by Tone Kroken Social,3 seter XL,S-brand UAB,Bohus Exclusive by Tone Kroken,SOCIAL,3 seter,23749,,Beige/natur,Hermes Ecru,260,81,47,56,https://checkout.bohus.no/sofa/3-seter/social-3-seter-sofa-1
313080,Brooks,3 seter,Dominari Grupe UAB,,BROOKS,3 seter,19105,,Beige/natur,Enardo 28 Beige,230,78,45,60,https://checkout.bohus.no/sofa/3-seter/brooks-3-seter-sofa-xl-2
331706,Weston,3 seter,Dominari Grupe UAB,,WESTON,3 seter,16000,,Beige/natur,Aragon 08 Lys Beige,202,82,48,58,https://checkout.bohus.no/sofa/3-seter/weston-3-seter-sofa-3
331708,Weston,3 seter,Dominari Grupe UAB,,WESTON,3 seter,16000,,Grønn,Aragon 38 Mose,202,82,48,58,https://checkout.bohus.no/sofa/3-seter/weston-3-seter-sofa-5
331711,Weston,3 seter,Dominari Grupe UAB,,WESTON,3 seter,18332,,Brun,Moor 45 Brun,202,82,48,58,https://checkout.bohus.no/sofa/3-seter/weston-3-seter-sofa-8
