varenummer,navn,variant,leverandor,kategori,nåpris,førpris,rabatt_prosent,ean,lev_varenummer,url,kampanje,antall_varianter
120027,Sagrado 3-seter med åpen ende venstre,Sagrado 3-seter med åpen ende venstre,,Alle produkter/Alle sofaer/Sofa/,34999.0,68999.0,49.0,7050733718904,1778550,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/sagrado-3-seter-med-apen-ende-venstre/?VariationId=V_5637586467,False,20
119392,Rossi U-sofa,Rossi U-sofa,,Alle produkter/Alle sofaer/Sofa/,49999.0,97499.0,49.0,7050733631722,1774766,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-u-sofa-119392/?VariationId=V_5637569917,True,6
119447,Rossi Lux U-sofa,Rossi Lux U-sofa,,Alle produkter/Alle sofaer/Sofa/,49999.0,97499.0,49.0,7050733633160,1774910,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-lux-u-sofa-119447/?VariationId=V_5637571352,True,6
119530,"Evo 1,5-seter med sjeselong","Evo 1,5-seter med sjeselong",Furninova,Alle produkter/Alle sofaer/Sofa/,11999.0,23719.0,49.0,7050733620696,2445442,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/evo-15-seter-med-sjeselong/?VariationId=V_5637610512,True,104
119482,Roma 3-seter,Roma 3-seter,Furninova,Alle produkter/Alle sofaer/Sofa/,13999.0,27479.0,49.0,7050733619461,2445231,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/roma-3-seter/?VariationId=V_5637580453,True,33
117794,Monaco Lux hjørnesofa,Monaco Lux hjørnesofa,,Alle produkter/Alle sofaer/Sofa/,29999.0,58699.0,49.0,7050733569612,1776768,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-lux-hjornesofa-117794/?VariationId=V_5637555099,True,8
117098,"Rossi 1,5-seter stol","Rossi 1,5-seter stol",,Alle produkter/Alle sofaer/Sofa/,6999.0,13699.0,49.0,7050733556407,1776800,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-15-seter-stol/?VariationId=V_5637550512,True,7
117099,Rossi 2-seter uten arm,Rossi 2-seter uten arm,,Alle produkter/Alle sofaer/Sofa/,7999.0,15699.0,49.0,7050733556476,1776807,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-2-seter-uten-arm/?VariationId=V_5637550520,True,7
116948,Rossi 3-seter sofa,Rossi 3-seter sofa,,Alle produkter/Alle sofaer/Sofa/,14999.0,29699.0,49.0,7050733536614,1777803,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-3-seter-sofa/?VariationId=V_5637550504,True,11
122476,Indra 2-seter sjselong,Indra 2-seter sjselong,Furninova,Alle produkter/Alle sofaer/Sofa/,24999.0,48494.0,48.0,7050733760422,2450901,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/indra-2-seter-sjselong/?VariationId=V_5637611902,False,2
